Group,Phase,Mineralogy,Grain Label,Reference,Meteorite,Technique,Size (nm),Notes,17O/16O,Error[17O/16O],18O/16O,Error[18O/16O],d(29Si/28Si),Error[d(29Si/28Si)],d(30Si/28Si),Error[d(30Si/28Si)],d(25Mg/24Mg),Error[d(25Mg/24Mg)],d(26Mg/24Mg),Error[d(26Mg/24Mg)],27Al/24Mg,Error[27Al/24Mg],26Al/27Al,Error[26Al/27Al],41Ca/42Ca,Error[41Ca/42Ca],d(42Ca/40Ca),Error[d(42Ca/40Ca)],d(43Ca/40Ca),Error[d(43Ca/40Ca)],d(44Ca/40Ca),Error[d(44Ca/40Ca)],d(46Ti/48Ti),Error[d(46Ti/48Ti)],d(47Ti/48Ti),Error[d(47Ti/48Ti)],d(49Ti/48Ti),Error[d(49Ti/48Ti)],d(50Ti/48Ti),Error[d(50Ti/48Ti)],d(50Cr/52Cr),Error[d(50Cr/52Cr)],d(53Cr/52Cr),Error[d(53Cr/52Cr)],d(54Cr/52Cr),Error[d(54Cr/52Cr)],d(54Fe/56Fe),Error[d(54Fe/56Fe)],d(57Fe/56Fe),Error[d(57Fe/56Fe)],d(58Fe/56Fe),Error[d(58Fe/56Fe)],d(60Ni/58Ni),Error[d(60Ni/58Ni)],d(61Ni/58Ni),Error[d(61Ni/58Ni)],d(62Ni/58Ni),Error[d(62Ni/58Ni)]
1,Oxide,Al-Fe-Mg,34C-6 ,Bose ApJ 2010,Acfer 094,"Wash U NanoSIMS, Auger", 150 × 190 ,,0.0007390000,0.0000490000,0.0020300000,8.00E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Al-Fe-Mg,42Fb3 ,Bose ApJ 2010,Acfer 094,"Wash U NanoSIMS, Auger", 190 × 90 ,,0.0006040000,0.0000440000,0.0015600000,7.00E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,42Ff26 ,Bose ApJ 2010,Acfer 094,"Wash U NanoSIMS, Auger", 270 × 120 ,,0.0007310000,0.0000420000,0.0019800000,6.00E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,TiO2,42Fs6 ,Bose ApJ 2010,Acfer 094,"Wash U NanoSIMS, Auger", 200 × 120 ,,0.0007090000,0.0000270000,0.0013400000,4.00E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Fe-bearing oxide,E20-36-tp,Bose PoS 2010 (NIC XI),SAH97096,"Wash U NanoSIMS, Wash U Auger",,,0.0007100000,0.0000900000,0.0021900000,1.60E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Fe-bearing oxide,E20-36-bm,Bose PoS 2010 (NIC XI),SAH97096,"Wash U NanoSIMS, Wash U Auger",,,0.0006500000,0.0000700000,0.0020300000,1.10E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Oxide,Fe-bearing oxide,B2-1,Bose PoS 2010 (NIC XI),SAH97096,"Wash U NanoSIMS, Wash U Auger",,,0.0003900000,0.0000200000,0.0022000000,4.00E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,S-C5158,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0006400000,0.0000350000,0.0013600000,9.50E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,S-C5167,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0008200000,0.0000250000,0.0013000000,6.00E-05,,,,,-72.89,65.55,140.54,72.14,2706,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,S-C5186,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0004600000,0.0000650000,0.0011400000,0.00017,,,,,-1.82,11.85,19.24,11.84,9.3,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,S-C5223,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0005300000,0.0000600000,0.0019200000,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,S-C5227,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0025100000,0.0000850000,0.0012100000,0.00011,,,,,36.09,30.80,2250.79,67.47,183,19,1.70E-03,2.00E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,S-C6087,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0075200000,0.0000250000,0.0021800000,2.50E-05,,,,,36.09,22.11,35.75,21.53,402,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,S-C6121,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0007100000,0.0000200000,0.0011500000,4.00E-05,,,,,-1.03,11.06,1.29,10.77,20.1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Hibonite,S-H5323,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0012600000,0.0000150000,0.0015200000,3.00E-05,,,,,-43.67,15.00,2934.83,40.55,86.2,8.7,4.70E-03,5.00E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Oxide,Corundum,S-C6071,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0012200000,0.0000200000,0.0001500000,1.50E-05,,,,,-7.34,12.24,1405.25,21.53,17.3,1.7,1.10E-02,1.00E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Oxide,Corundum,S-C6106,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0010300000,0.0000150000,0.0002900000,1.50E-05,,,,,-12.87,24.09,25009.91,344.89,112,12,3.10E-02,3.00E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Oxide,Hibonite,S-H6205,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0012700000,0.0000150000,0.0000620000,7.50E-06,,,,,28.98,9.48,5207.29,35.89,37,3.7,2.00E-02,2.00E-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Oxide,Corundum,S-C5132,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0002800000,0.0000200000,0.0009300000,6.00E-05,,,,,-0.24,7.11,13.49,6.82,56.1,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Oxide,Corundum,S-C5218,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0003500000,0.0000350000,0.0023100000,0.000155,,,,,37.67,24.48,137.67,25.12,32,3.3,6.00E-04,2.30E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Oxide,Corundum,S-C6013,Choi ApJ 1999,Semarkona,CIT 3f,,,0.0003000000,0.0000150000,0.0016700000,7.00E-05,,,,,2.13,20.53,-0.86,19.74,51.4,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,B-C129 ,Choi Science 1998,Bishunpur,CIT 3f,,,0.0023200000,0.0000500000,0.0021500000,7.50E-05,,,,,-18.40,28.43,394.63,34.45,979,15,6.10E-05,6.50E-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,B-C155 ,Choi Science 1998,Bishunpur,CIT 3f,,,0.0011000000,0.0000100000,0.0018600000,2.50E-05,,,,,109.53,57.65,51.54,52.76,4566,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,B-C68 ,Choi Science 1998,Bishunpur,CIT 3f,,,0.0028000000,0.0000400000,0.0020500000,6.50E-05,,,,,25.82,6.71,25.70,6.46,59,3,6.10E-05,1.60E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,S-C13 ,Choi Science 1998,Semarkona,CIT 3f,,,0.0004900000,0.0000450000,0.0019900000,1.55E-04,,,,,2.13,32.38,-8.76,30.86,291,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,S-C203 ,Choi Science 1998,Semarkona,CIT 3f,,,0.0028300000,0.0000950000,0.0021200000,1.50E-04,,,,,-66.57,37.51,157.77,41.63,24,1.5,9.30E-04,2.50E-04,,,,,,,,,-41.90,59.88,-106.88,59.41,79.73,72.52,238.64,95.28,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,S-C235 ,Choi Science 1998,Semarkona,CIT 3f,,,0.0017700000,0.0000300000,0.0014400000,5.00E-05,,,,,-48.41,20.14,21.39,20.10,95,5,,,,,,,,,,,104.58,140.49,189.15,152.04,184.48,165.85,1180.40,357.65,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,S-S21 ,Choi Science 1998,Semarkona,CIT 3f,,,0.0011500000,0.0000600000,0.0017100000,1.30E-04,,,,,39.25,10.27,20.67,6.10,4.1,0.15,7.10E-04,2.15E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Oxide,Corundum,S-C201 ,Choi Science 1998,Semarkona,CIT 3f,,,0.0009600000,0.0000450000,0.0005700000,6.50E-05,,,,,-22.35,40.67,323.57,48.09,27,1.5,1.70E-03,2.50E-04,,,,,,,,,115.64,140.49,202.24,152.04,197.91,165.85,935.98,357.65,,,,,,,,,,,,,,,,,,
2,Oxide,Corundum,S-C261 ,Choi Science 1998,Semarkona,CIT 3f,,,0.0029900000,0.0000500000,0.0008400000,5.00E-05,,,,,8.45,17.77,91.73,17.94,21,1,6.20E-04,1.25E-04,,,,,,,,,-212.33,33.63,-183.41,35.24,-256.01,36.26,-359.28,55.23,,,,,,,,,,,,,,,,,,
3,Oxide,Corundum,B-C145 ,Choi Science 1998,Bishunpur,CIT 3f,,,0.0003700000,0.0000150000,0.0021000000,1.00E-04,,,,,-11.29,91.61,1278.93,158.27,1157,81.5,1.50E-04,2.00E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Oxide,Corundum,B-C72 ,Choi Science 1998,Bishunpur,CIT 3f,,,0.0003700000,0.0000100000,0.0019600000,5.00E-05,,,,,6.87,9.48,45.08,9.33,39,2,1.60E-04,3.50E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Oxide,Corundum,B-C8 ,Choi Science 1998,Bishunpur,CIT 3f,,,0.0004100000,0.0000100000,0.0024700000,5.00E-05,,,,,11.61,12.64,-15.93,11.84,65,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Oxide,Corundum,S-C245 ,Choi Science 1998,Semarkona,CIT 3f,,,0.0003600000,0.0000100000,0.0019600000,4.50E-05,,,,,-37.35,33.56,93.88,35.17,43,2.5,3.00E-04,1.15E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Oxide,Corundum,S-C122 ,Choi Science 1998,Semarkona,CIT 3f,,,0.0004400000,0.0000300000,0.0063400000,1.95E-04,,,,,3.71,22.11,87.42,22.61,20,1,6.30E-04,1.65E-04,,,-39.4,149.5,70.8,81.6,,,,,31.80,80.61,69.32,85.08,47.50,91.32,380.87,127.73,,,,,,,,,,,,,,,,
4,Oxide,FeO,34C-10,Floss ApJ 2008,Acfer 094,"Wash U NanoSIMS, Auger",400,,0.0004120000,0.0000140000,0.0026800000,4.00E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-215,20,-255,30,,,300,360,-15,150,,
1,Oxide,Al-rich,4b-18-o1 ,Floss GCA 2009,MET 00426,"Wash U NanoSIMS, Auger", 200 x 200 ,,0.0006820000,0.0000350000,0.0019100000,6.00E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,10-7-16,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0009151032,0.0000212493,0.0009820003,2.80E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,11-1-1,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0009500179,0.0000268997,0.0015554084,3.69E-05,,,,,-42.4,6.7,-28.9,6.2,2.631335288,0.396243623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,12-12-4,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0006390000,0.0000363845,0.0012250000,5.11E-05,,,,,-22.9,14.4,9.2,13.9,3.677239096,0.553998373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,1-2-8,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0010446380,0.0000379243,0.0015070437,4.78E-05,,,,,-48.0,22.4,1.8,22.0,35.5577489,5.360787472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,13-28-12,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0004819972,0.0000320877,0.0019232859,6.63E-05,,,,,24.1,10.4,15.0,9.7,2.860245318,0.430787973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,13-3-12,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0005830000,0.0000546753,0.0020700000,1.03E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,13-6-3,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0004638594,0.0000369013,0.0021773783,8.20E-05,,,,,-45.6,24.0,-20.2,23.3,2.263331621,0.341416057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,14-13-6,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0004445010,0.0000311232,0.0013978721,5.77E-05,,,,,-6.7,8.3,12.1,7.9,3.483947608,0.524668745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,14-14-5,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0006507790,0.0000233052,0.0013445552,3.76E-05,,,,,1.4,8.2,-6.2,7.7,2.856437414,0.430167346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,14-19-2,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0013673957,0.0000269915,0.0019581842,3.66E-05,,,,,1.4,5.7,-2.6,5.2,3.119846699,0.469786372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,14-6-3,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0005249475,0.0000208742,0.0018437952,4.25E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,3-3-10,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0013897960,0.0000264657,0.0015461900,3.28E-05,,,,,-4.3,6.0,-6.2,5.5,2.540634089,0.382573638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,3-6-8,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0005050793,0.0000301690,0.0016537932,5.72E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,6-13-5,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0008927029,0.0000368048,0.0017313450,5.41E-05,,,,,90.5,9.0,210.7,8.9,3.306671299,0.497979215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,6-14-8,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0007982318,0.0000170958,0.0022024725,3.30E-05,,,,,-235.1,20.1,215.8,24.6,5.172088299,0.779877105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,6-16-1,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0007197332,0.0000164689,0.0018341012,3.12E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,6-2-1,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0007170062,0.0000141671,0.0018108357,2.81E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,6-21-9,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0006606157,0.0000146435,0.0013309836,2.68E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,6-24-10,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0010167814,0.0000214467,0.0013067487,2.98E-05,,,,,-219.8,5.0,308.9,5.2,2.556866655,0.385008881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,7-1-4,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0007095069,0.0000381194,0.0020405830,6.69E-05,,,,,-190.0,8.7,254.7,10.1,3.276167952,0.493409174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,8-17-2,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0005935973,0.0000292266,0.0011215276,4.71E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,8-24-13,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0014852115,0.0000698370,0.0019580207,8.38E-05,,,,,42.7,8.8,90.5,8.4,3.055671382,0.460179613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,8-9-11,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0004544318,0.0000103496,0.0018698657,3.19E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,8-9-3,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0051417165,0.0001050711,0.0018943532,6.83E-05,,,,,-65.9,21.0,-24.6,20.5,40.03854136,6.035513255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,9-18-8,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0004962692,0.0000209899,0.0018141075,4.41E-05,,,,,-8.3,5.9,-2.6,5.4,2.841065056,0.427811301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,9-20-15,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0005374841,0.0000242001,0.0016379480,4.35E-05,,,,,7.1,6.6,9.9,6.1,2.526037707,0.380384277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,9-21-11,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0013901749,0.0000420796,0.0020126325,5.43E-05,,,,,-12.4,4.5,-3.3,4.0,2.512064018,0.378253782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,9-23-6,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0009760000,0.0001170732,0.0023040000,1.80E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,9-27-18,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0005311206,0.0000196598,0.0019627567,4.19E-05,,,,,-0.2,12.0,15.8,11.5,3.184407485,0.479663934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Spinel,9-28-4,Gyngard ApJ 2010,Murray,Wash U NanoSIMS,,,0.0008689564,0.0000264400,0.0018649612,4.33E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Oxide,Spinel,13-30-9,Gyngard LPSC 2009,Murray,Wash U NanoSIMS,,,0.0011891667,0.0000319783,0.0000695931,1.92E-05,,,,,149.7,7.0,602.1,7.6,3.108825875,0.468143019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Oxide,Spinel,13-34-3,Gyngard LPSC 2009,Murray,Wash U NanoSIMS,,,0.0010089900,0.0000318391,0.0004889644,2.82E-05,,,,,-183.3,6.7,353.6,7.7,2.866157472,0.431612258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Oxide,Corundum,14-1-14,Gyngard LPSC 2009,Murray,Wash U NanoSIMS,,,0.0009875635,0.0000379302,0.0003688560,2.90E-05,,,,,-1.0,33.1,727.4,43.2,111.1153634,16.77486453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Oxide,Spinel,14-12-7,Gyngard LPSC 2009,Murray,Wash U NanoSIMS,,,0.0007649235,0.0000235922,0.0002251912,2.17E-05,,,,,1033.6,8.0,1039.6,7.5,2.385610013,0.359229995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Oxide,Spinel,9-10-17,Gyngard LPSC 2009,Murray,Wash U NanoSIMS,,,0.0011542723,0.0000418515,0.0006442771,3.74E-05,,,,,-191.0,7.9,376.3,9.6,3.381408714,0.509235823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Oxide,Spinel,9-8-20,Gyngard LPSC 2009,Murray,Wash U NanoSIMS,,,0.0012872709,0.0000559723,0.0005616399,4.23E-05,,,,,-185.8,7.7,341.2,9.1,3.174809896,0.478116218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Oxide,Spinel,10-11-4,Gyngard LPSC 2009,Murray,Wash U NanoSIMS,,,0.0003543733,0.0000091085,0.0014093470,2.06E-05,,,,,-9.1,5.2,-7.7,4.6,3.00342264,0.452248001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Oxide,Spinel,12-13-3,Gyngard LPSC 2009,Murray,Wash U NanoSIMS,,,0.0011160000,0.0000523158,0.0066230000,1.30E-04,,,,,71.1,13.3,735.4,16.4,3.690212012,0.555877833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U,Oxide,Spinel,12-20-10,Gyngard LPSC 2009,Murray,Wash U NanoSIMS,,,0.0088013921,0.0002967192,0.0011787881,1.10E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U,Oxide,Spinel,7-5-7,Gyngard LPSC 2009,Murray,Wash U NanoSIMS,,,0.0000398067,0.0000095196,0.0002055499,2.33E-05,,,,,-276.3,10.3,12.8,11.5,3.085358551,0.46474747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U,Oxide,Spinel,Murray-C4-8-mg-1,Gyngard LPSC 2009,Murray,Wash U NanoSIMS,,,0.0440355089,0.0001224785,0.0011046495,2.32E-05,,,,,949.3,8.1,928.9,7.5,2.887520782,0.434809788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,B39,Huss ApJ 1994,Bishunpur,CIT 3f,3000,Ti data given in Choi ApJ 1998,0.0025974026,0.0000303593,0.0011723329,2.06E-05,,,,,0.55,9.08,1675.85,37.32,136,7,1.70E-03,1.00E-04,,,,,,,,,-25.316,23.031,52.208,24.669,12.583,28.202,68.795,80.091,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,Org-B,Hutcheon ApJ 1994,Orgueil,CIT 3f,,Ti data from Choi ApJ 1998,0.0009700000,0.0000050000,0.0019900000,2.00E-05,,,,,242.20,63.18,12158.91,81.11,2027,36,8.90E-04,5.00E-06,,,,,,,,,194.86,9.21,94.50,8.56,81.07,12.76,82.60,15.19,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,Al-1,Krestina LPSC 2002,Semarkona,CIT 3f,,,0.0021600000,0.0000850000,0.0016100000,1.05E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,Al-11,Krestina LPSC 2002,Semarkona,CIT 3f,,,0.0005200000,0.0000500000,0.0011500000,1.25E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,Al-13,Krestina LPSC 2002,Tieschitz,CIT 3f,,,0.0004500000,0.0000100000,0.0021300000,4.50E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,Al-14,Krestina LPSC 2002,Tieschitz,CIT 3f,,,0.0006100000,0.0000250000,0.0019800000,1.20E-04,,,,,,,,,,,5.00E-05,4.00E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,Al-15,Krestina LPSC 2002,Bishunpur,CIT 3f,,,0.0012500000,0.0000500000,0.0013000000,1.25E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,Al-16,Krestina LPSC 2002,Bishunpur,CIT 3f,,,0.0005300000,0.0000350000,0.0020200000,2.10E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,Al-17,Krestina LPSC 2002,Bishunpur,CIT 3f,,,0.0005000000,0.0000400000,0.0019500000,1.20E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,Al-18,Krestina LPSC 2002,Bishunpur,CIT 3f,,,0.0008600000,0.0000700000,0.0014900000,1.40E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,Al-19,Krestina LPSC 2002,Bishunpur,CIT 3f,,,0.0005800000,0.0000700000,0.0019600000,1.80E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,Al-2 ,Krestina LPSC 2002,Semarkona,CIT 3f,,,0.0028300000,0.0000150000,0.0019900000,2.00E-05,,,,,,,,,,,3.00E-04,1.00E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,Al-3 ,Krestina LPSC 2002,Semarkona,CIT 3f,,,0.0005500000,0.0000250000,0.0009500000,1.50E-05,,,,,,,,,,,1.50E-03,1.00E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,Al-5,Krestina LPSC 2002,Tieschitz,CIT 3f,,,0.0005300000,0.0000400000,0.0010400000,1.65E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,Al-6 ,Krestina LPSC 2002,Tieschitz,CIT 3f,,,0.0003900000,0.0000100000,0.0013000000,3.00E-05,,,,,,,,,,,3.00E-05,3.00E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,Al-7 ,Krestina LPSC 2002,Tieschitz,CIT 3f,,,0.0003900000,0.0000100000,0.0016700000,3.50E-05,,,,,,,,,,,1.00E-04,1.00E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oxide,Corundum,Al-8 ,Krestina LPSC 2002,Bishunpur,CIT 3f,,,0.0009300000,0.0000200000,0.0017200000,3.50E-05,,,,,,,,,,,1.00E-04,2.00E-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
